Deal_number,Deal_name
250,010 - Bel Fuse Inc acquisition of certain assets of CUI Global Inc.docx
251,010 - BofI Federal Bank acquisition of certain assets of Union Federal Savings B.docx
252,010 - Carbonite Inc acquisition of certain assets and subsidiary stock of EMC Co.docx
253,010 - CenterState Banks Inc and Community Bank of South Florida Inc merger.docx
254,010 - Cincinnati Fan And Ventilator Company Inc acquisition of stock of Strobic .docx
255,010 - Crown Castle International Corp and LTS Group Holdings LLC dba Lightower m.docx
256,010 - Curb Technologies LLC acquisition of certain assets of VeriFone Systems In.docx
257,010 - Earthstone Energy Inc acquisition of equity interests of Sabalo Energy Inc.docx
258,010 - EPL Oil And Gas Inc acquisition of certain assets of Nexen Petroleum Offsh.docx
259,010 - Farmer Bros Co acquisition of assets of Boyd Coffee Company.docx
260,010 - Foresight Energy LP acquisition of certain assets of American Energy Corpo.docx
261,010 - HealthStream Inc acquisition of stock of Morrisey Associates Inc.docx
262,010 - HEICO Corporation acquisition of equity interests of Robertson Fuel System.docx
263,010 - Ichor Holdings Ltd acquisition of stock of Talon Innovations Corporation.docx
264,010 - IHS Inc and Seismic Micro-Technology merger.docx
265,010 - Pacira Pharmaceuticals Inc and MyoScience Inc merger.docx
266,010 - PDC Mountaineer Holdings LLC acquisition of equity interests of PDC Mounta.docx
267,010 - Peak Resorts Inc acquisition of stock of Snow Time Inc.docx
268,010 - Siris Capital Group LLC acquisition of stock of Mitel Mobility Inc.docx
269,010 - South Plains Financial Inc and West Texas State Bank merger.docx
270,010 - Symmetry Surgical Inc acquisition of certain assets of Bovie Medical Corpo.docx
271,010 - The Jordan Company LP acquisition of subsidiary equity interests of PQ Cor.docx
272,010 - Vertex Energy Inc acquisition of certain assets of Omega Holdings Company .docx
273,010 - WPX Energy Inc acquisition of equity interests of Felix Energy Holdings II.docx
274,011 - ACI Worldwide Inc acquisition of stock of E Commerce Group Products Inc an.docx
275,011 - Americold Realty Trust acquisition of equity interests of Agro Merchants G.docx
276,011 - Charles River Laboratories International Inc and ACP Mountain Holdings Inc.docx
277,011 - Cimpress NV and Build A Sign LLC merger.docx
278,011 - Covey Park Energy LLC acquisition of certain assets of Penn Virginia Oil A.docx
279,011 - Global Condiments Inc and Southport Lane Inc merger.docx
280,011 - HEICO Corporation acquisition of stock of AeroAntenna Technology Inc.docx
281,011 - ICU Medical Inc acquisition of stock of EXC Holding Corp.docx
282,011 - Insituform Technologies Inc acquisition of subsidiary stock and certain as.docx
283,011 - Invesco Ltd and OppenheimerFunds Inc merger.docx
284,011 - Madison Dearborn Partners acquisition of equity interests of Mayfield Hold.docx
285,011 - Mallinckrodt plc acquisition of assets and subsidiary equity interests of .docx
286,011 - McCormick And Company Incorporated acquisition of equity interests of The .docx
287,011 - Mercury Computer Systems Inc and KOR Electronics merger.docx
288,011 - Mill Point Capital LLC acquisition of equity interests of Affinion Benefit.docx
289,011 - New Acton Mobile Industries LLC acquisition of certain assets of Mobile Mi.docx
290,011 - NRG Yield Operating LLC acquisition of equity interests of CVSR Holdco LLC.docx
291,011 - Oasis Petroleum Inc acquisition of certain assets of Forge Energy LLC.docx
292,011 - Pixelle Specialty Solutions LLC acquisition of equity interests of Verso A.docx
293,011 - Plantronics Inc acquisition of stock of Polycom Inc.docx
294,011 - Polymer Additives Inc acquisition of certain assets of Ferro Corporation.docx
295,011 - SensoryEffects Inc acquisition of equity interests of Zumbro River Brand I.docx
296,011 - SM Energy Company acquisition of equity interests of a newly formed subsid.docx
297,011 - Spirit of Texas Bancshares Inc and Chandler Bancorp Inc merger.docx
298,011 - Vestar Capital Partners acquisition of stock of Institutional Shareholder .docx
299,011 - Vitro SAB de CV acquisition of certain assets and subsidiary equity intere.docx
300,012 - 3M Company acquisition of subsidiary stock and certain assets from Avery D.docx
301,012 - AAndM Capital Partners acquisition of equity interests of Bolle Inc Sereng.docx
302,012 - Arcline Investment Management LP acquisition of equity interests of Fairba.docx
303,012 - Brooks Automation Inc and Nexus Biosystems Inc merger.docx
304,012 - FireEye Inc and Mandiant Corporation merger.docx
305,012 - German American Bancorp Inc acquisition of certain assets of MainSource Ba.docx
306,012 - Inphi Corporation and eSilicon Corporation merger.docx
307,012 - ManTech International Corporation acquisition of stock of Kforce Governmen.docx
308,012 - Medline Industries Inc acquisition of certain assets of ICU Medical Inc.docx
309,012 - Meta Financial Group Inc acquisition of assets of Fort Knox Financial Serv.docx
310,012 - NetApp Inc and SolidFire Inc merger.docx
311,012 - Quinpario Acquisition Corp acquisition of stock of Jason Partners Holdings.docx
312,012 - REMAX Holdings Inc acquisition of assets of Roaring Fork Capital Partners .docx
313,012 - Renasant Corporation and Brand Group Holdings Inc merger.docx
314,012 - SAndW Seed Company acquisition of certain assets of Pioneer Hi-Bred Intern.docx
315,012 - Select Energy Services Inc and Rockwater Energy Solutions Inc merger.docx
316,012 - SM Energy Company acquisition of equity interests of JPM EOC Opal LLC.docx
317,012 - SP Plus Corporation acquisition of stock of ZWB Holdings Inc and Rynns Lu.docx
318,012 - Sumitomo Mitsui Banking Corporation acquisition of equity interests of Ame.docx
319,012 - Summit Materials Holdings LP acquisition of certain assets of Lafarge Nort.docx
320,012 - The First Bancshares Inc and First Florida Bancorp Inc merger.docx
321,012 - Victory Capital Holdings Inc acquisition of equity interests of Harvest Vo.docx
322,012 - Vitruvian Exploration IV LLC acquisition of certain assets of Sanchez Ener.docx
323,012 - WellSky Corporation acquisition of certain assets and subsidiary equity in.docx
324,012 - WillScot Corporation acquisition of equity interests of Acton Mobile Holdi.docx
325,012 - XPO Logistics Inc and New Breed Holding Company merger.docx
326,013 - Aclaris Therapeutics Inc acquisition of certain assets of Allergan Sales L.docx
327,013 - Adobe Systems Incorporated acquisition of stock of Milestone Topco Inc.docx
328,013 - Amneal Pharmaceuticals Inc acquisition of equity interests of AvKARE Inc a.docx
329,013 - Arkadin SAS acquisition of stock of Conference Plus Inc.docx
330,013 - Athlon Energy Inc acquisition of certain assets of redacted sellers.docx
331,013 - AtriCure Inc and nContact Surgical Inc merger.docx
332,013 - BGC Partners Inc acquisition of equity interests of Berkeley Point Financi.docx
333,013 - Cerberus Capital Management acquisition of equity interests of C-A NA LLC.docx
334,013 - Cott Corporation acquisition of equity interests of SAndD Coffee Holding C.docx
335,013 - Danaher Corporation acquisition of certain assets and subsidiary equity in.docx
336,013 - Digi International Inc and Opengear Inc merger.docx
337,013 - Eclipse Resources Corporation acquisition of certain assets of Travis Peak.docx
338,013 - Etsy Inc and Reverb Holdings Inc merger.docx
339,013 - Helios Technologies Inc and BWG Holdings I Corp dba Balboa Water Group mer.docx
340,013 - Mueller Industries Inc acquisition of stock of ATCO Rubber Products Inc.docx
341,013 - National General Holdings Corp acquisition of stock of QBE Financial Insti.docx
342,013 - Perficient Inc acquisition of assets of Zeon Solutions Incorporated and Gr.docx
343,013 - Press Ganey Associates Inc acquisition of equity interests of Improve PX L.docx
344,013 - PTC Inc and ThingWorx Inc merger.docx
345,013 - QIC Intermediate Holdings Inc dba Quick International Courier acquisition .docx
346,013 - Sparton Corporation and Hunter Technology Corporation merger.docx
347,013 - Sun Capital Partners Inc acquisition of equity interests of Aclara Technol.docx
348,013 - The Dolan Company acquisition of certain assets of ACT Litigation Services.docx
349,013 - TransMontaigne Partners LP acquisition of certain assets of Plains All Ame.docx
350,013 - US Silica Company and EP Acquisition Parent Inc merger.docx
351,013 - Virtus Investment Partners Inc and RidgeWorth Holdings LLC merger.docx
352,014 - Arc Logistics Partners LP acquisition of equity interests of UET Midstream.docx
353,014 - athenahealth Inc and Proxsys LLC merger.docx
354,014 - Avalara Inc and Transaction Tax Resources Inc merger.docx
355,014 - Brookfield Infrastructure acquisition of equity interests of Lodi Gas Stor.docx
356,014 - Builders FirstSource Inc acquisition of equity interests of ProBuild Holdi.docx
357,014 - Church And Dwight Co Inc acquisition of stock of PIK Holdings Inc.docx
358,014 - Collaborative Care Holdings LLC acquisition of equity interests of DaVita .docx
359,014 - Consolidated Edison Inc acquisition of equity interests of Sempra Solar Ho.docx
360,014 - CoreLogic Inc and FNC Holding Company Inc merger.docx
361,014 - Fieldwood Energy LLC acquisition of certain assets of Black Elk Energy Off.docx
362,014 - Grifols SA acquisition of certain assets of Hologic Inc.docx
363,014 - Hercules Capital Inc acquisition of certain assets of Ares Capital Corpora.docx
364,014 - J-POWER USA Development Co Ltd acquisition of equity interests of Elwood E.docx
365,014 - LPL Financial Holdings Inc acquisition of certain assets of National Plann.docx
366,014 - Nine Energy Service Inc acquisition of equity interests of Magnum Oil Tool.docx
367,014 - Nuance Communications Inc and Vlingo Corporation merger.docx
368,014 - PAR Technology Corporation acquisition of equity interests of AccSys LLC.docx
369,014 - PGT Innovations Inc acquisition of equity interests of NewSouth Window Sol.docx
370,014 - Ring Energy Inc acquisition of certain assets of Wishbone Energy Partners .docx
371,014 - Rogers Corporation acquisition of subsidiary stock of Handy And Harman Gro.docx
372,014 - Sonoco Plastics Inc acquisition of stock of Highland Packaging Solutions I.docx
373,014 - Tanos Energy Holdings III LLC acquisition of certain assets and subsidiary.docx
374,014 - TerraForm Power Inc acquisition of subsidiary equity interests of AtlaGas .docx
375,014 - Textron Inc and Beech Holdings LLC merger.docx
376,014 - The Interpublic Group of Companies Inc acquisition of equity interests of .docx
377,014 - TRC Companies Inc acquisition of equity interests of Willbros Government S.docx
378,015 - AMN Healthcare Services Inc and Onward Healthcare Inc merger.docx
379,015 - Boulder Brands Inc acquisition of equity interests of Phil's Fresh Foods L.docx
380,015 - Cipher Pharmaceuticals Inc acquisition of equity interests of Innocutis Ho.docx
381,015 - Crane Co and Crane And Co Inc merger.docx
